time,mean,,,hor,ver,hormax,vermax
20220420_153515,1.84E-05,0.000383595,0,-7.58E-06,-1.15E-05,3.29E-05,3.26E-05
20220420_153515,1.84E-05,0.000383595,0,-7.58E-06,-1.15E-05,3.29E-05,3.26E-05
20220420_153515,0.015710993,0.06796021,6.65E-05,0.001676426,-0.000763721,0.046836399,0.054582074
20220420_153515,2.54E-05,0.005351558,0,-3.00E-06,-1.79E-05,0.003230751,3.59E-05
20220420_153515,2.54E-05,0.005351558,0,-3.00E-06,-1.79E-05,0.003230751,3.59E-05
20220420_153515,0.02340574,0.058030903,0.000201708,-0.015384891,0.010585097,0.029037789,0.044423822
20220420_153516,1.80E-05,0.000391335,0,-7.75E-06,-1.08E-05,2.99E-05,3.45E-05
20220420_153516,0.017326063,0.051894277,5.58E-05,-0.004802527,0.002486475,0.040331751,0.0477436
20220420_153516,1.83E-05,0.000393576,0,-7.77E-06,-1.14E-05,3.16E-05,2.76E-05
20220420_153516,1.83E-05,0.000393576,0,-7.77E-06,-1.14E-05,3.16E-05,2.76E-05
20220420_153516,0.015134093,0.05131064,0.00011898,0.005454973,-0.002735049,0.050914474,0.026867421
20220420_153516,0.017269988,0.09515664,0.000102897,0.003706647,-0.001906458,0.056130238,0.094804436
20220420_153516,1.77E-05,0.000379837,0,-7.50E-06,-1.07E-05,3.19E-05,3.24E-05
20220420_153516,0.017616006,0.097299144,2.41E-05,-0.000316903,0.003883663,0.046723429,0.077292114
20220420_153516,1.63E-05,0.000241578,0,-5.15E-06,-1.16E-05,3.33E-05,2.54E-05
20220420_153516,1.63E-05,0.000241578,0,-5.15E-06,-1.16E-05,3.33E-05,2.54E-05
20220420_153516,0.01814138,0.056657743,6.19E-06,0.000505736,-0.008714228,0.047526777,0.040700357
20220420_153516,1.63E-05,0.000239888,0,-5.06E-06,-1.16E-05,3.41E-05,2.67E-05
20220420_153516,0.018230387,0.066347301,4.77E-05,-0.004311012,-0.001015515,0.039524175,0.045989372
20220420_153516,1.86E-05,0.000377572,0,-7.66E-06,-1.18E-05,3.15E-05,3.03E-05
20220420_153516,0.016699023,0.07915584,2.37E-05,0.006530381,-9.13E-05,0.06641522,0.043557033
20220420_153516,1.67E-05,0.000243542,0,-4.96E-06,-1.21E-05,3.71E-05,2.50E-05
20220420_153516,0.017582674,0.061916072,5.69E-05,0.007039026,0.002201911,0.056054953,0.040106922
20220420_153517,1.78E-05,0.00038426,0,-7.22E-06,-1.12E-05,3.20E-05,2.97E-05
20220420_153517,1.78E-05,0.00038426,0,-7.22E-06,-1.12E-05,3.20E-05,2.97E-05
20220420_153517,0.018084861,0.070914313,7.04E-05,-0.009988768,0.001832822,0.034096856,0.03988985
20220420_153517,1.83E-05,0.000397029,0,-7.83E-06,-1.10E-05,3.18E-05,3.42E-05
20220420_153517,0.015501538,0.055129219,5.98E-05,0.000575093,0.000973341,0.046917856,0.051604882
20220420_153517,1.67E-05,0.000244253,0,-5.14E-06,-1.20E-05,3.53E-05,2.45E-05
20220420_153517,0.016363136,0.065372311,4.06E-05,0.000441741,-0.004509187,0.048438132,0.039797604
20220420_153517,0.015748817,0.06366016,9.25E-05,0.002761504,-0.001306249,0.05955077,0.051066782
20220420_153517,1.82E-05,0.000409986,0,-7.74E-06,-1.13E-05,3.12E-05,2.91E-05
20220420_153517,0.018165132,0.103950441,3.08E-05,-0.00661373,0.000759854,0.041498814,0.095458291
20220420_153517,1.66E-05,0.00024903,0,-5.26E-06,-1.17E-05,3.56E-05,2.60E-05
20220420_153517,1.66E-05,0.00024903,0,-5.26E-06,-1.17E-05,3.56E-05,2.60E-05
20220420_153517,0.017257956,0.127472982,5.11E-05,-0.002564029,-0.002920701,0.035072826,0.050988652
20220420_153517,1.85E-05,0.000376893,0,-7.61E-06,-1.18E-05,3.26E-05,2.91E-05
20220420_153517,0.017975744,0.066978581,1.27E-06,0.006502605,5.08E-05,0.056724194,0.04915696
20220420_153518,1.79E-05,0.000387967,0,-7.70E-06,-1.11E-05,2.94E-05,2.91E-05
20220420_153518,0.016255301,0.069128923,5.66E-05,0.000345926,0.000883437,0.049609035,0.0690879
20220420_153518,1.88E-05,0.000383462,0,-7.75E-06,-1.19E-05,3.16E-05,2.98E-05
20220420_153518,0.016943871,0.0683171,2.56E-05,-0.004267837,-0.000222456,0.034437325,0.067743614
20220420_153518,1.80E-05,0.000391581,0,-7.23E-06,-1.16E-05,3.20E-05,2.72E-05
20220420_153518,1.80E-05,0.000391581,0,-7.23E-06,-1.16E-05,3.20E-05,2.72E-05
20220420_153518,0.016349988,0.089325637,7.67E-05,-0.004611719,0.002363042,0.048144121,0.089253649
20220420_153518,1.81E-05,0.000404943,0,-7.53E-06,-1.13E-05,3.20E-05,2.79E-05
20220420_153518,1.81E-05,0.000404943,0,-7.53E-06,-1.13E-05,3.20E-05,2.79E-05
20220420_153518,0.016930861,0.09854117,3.98E-05,0.001913584,-0.001443098,0.047220692,0.042881127
20220420_153518,1.85E-05,0.000390464,0,-7.66E-06,-1.15E-05,3.21E-05,3.17E-05
20220420_153518,1.85E-05,0.000390464,0,-7.66E-06,-1.15E-05,3.21E-05,3.17E-05
20220420_153518,0.017739417,0.04828158,2.85E-05,0.006791357,-0.003131991,0.047575969,0.036209319
20220420_153518,1.65E-05,0.000249257,0,-5.13E-06,-1.18E-05,3.47E-05,2.58E-05
20220420_153518,1.65E-05,0.000249257,0,-5.13E-06,-1.18E-05,3.47E-05,2.58E-05
20220420_153518,0.017606975,0.052090604,8.89E-05,0.004820034,-0.003551338,0.048777118,0.034797303
20220420_153518,1.69E-05,0.000237666,0,-5.35E-06,-1.20E-05,3.78E-05,2.75E-05
20220420_153518,1.69E-05,0.000237666,0,-5.35E-06,-1.20E-05,3.78E-05,2.75E-05
20220420_153518,0.017431933,0.054343782,8.46E-05,-0.006520276,0.001736852,0.042273819,0.042122111
20220420_153518,1.70E-05,0.000256087,0,-5.47E-06,-1.20E-05,3.57E-05,2.88E-05
20220420_153518,0.015872834,0.082093641,6.78E-05,-0.001184123,0.001361976,0.066113807,0.079677649
20220420_153519,1.82E-05,0.00038939,0,-7.73E-06,-1.13E-05,3.24E-05,2.91E-05
20220420_153519,1.82E-05,0.00038939,0,-7.73E-06,-1.13E-05,3.24E-05,2.91E-05
20220420_153519,0.016084607,0.090086497,2.13E-05,-0.006413627,-0.004171468,0.052975174,0.028601857
20220420_153519,1.68E-05,0.000237877,0,-5.41E-06,-1.20E-05,3.79E-05,2.66E-05
20220420_153519,0.015009017,0.05587142,6.68E-05,0.000932269,-0.002087436,0.039399277,0.039321046
20220420_153519,1.64E-05,0.000243788,0,-4.96E-06,-1.19E-05,3.51E-05,2.34E-05
20220420_153519,1.64E-05,0.000243788,0,-4.96E-06,-1.19E-05,3.51E-05,2.34E-05
20220420_153519,0.017768165,0.048513755,5.43E-05,-0.005428233,0.000552579,0.040183213,0.040403366
20220420_153519,1.70E-05,0.000275671,0,-5.27E-06,-1.21E-05,3.67E-05,2.89E-05
20220420_153519,1.70E-05,0.000275671,0,-5.27E-06,-1.21E-05,3.67E-05,2.89E-05
20220420_153519,0.014965001,0.058672637,4.16E-05,0.002479932,0.000654475,0.052212119,0.057534754
20220420_153519,1.80E-05,0.00039825,0,-7.72E-06,-1.09E-05,2.88E-05,3.28E-05
20220420_153519,0.017071948,0.094367236,2.09E-05,-0.000944564,0.003771649,0.061687529,0.09370622
20220420_153519,1.64E-05,0.000251337,0,-4.95E-06,-1.15E-05,3.75E-05,2.95E-05
20220420_153519,1.64E-05,0.000251337,0,-4.95E-06,-1.15E-05,3.75E-05,2.95E-05
20220420_153519,0.017396019,0.086295009,7.02E-05,-0.002552596,0.001445898,0.041916579,0.046324562
20220420_153519,1.86E-05,0.000389235,0,-7.78E-06,-1.15E-05,3.17E-05,3.09E-05
20220420_153519,0.016771506,0.049395256,7.70E-05,-0.006082057,-0.001147674,0.036165509,0.043097943
20220420_153519,1.68E-05,0.000242983,0,-5.26E-06,-1.20E-05,3.37E-05,2.62E-05
20220420_153519,1.68E-05,0.000242983,0,-5.26E-06,-1.20E-05,3.37E-05,2.62E-05
20220420_153520,0.016251937,0.055341821,8.23E-05,-0.001145207,0.001446125,0.039742514,0.03621522
20220420_153520,1.69E-05,0.000248521,0,-5.54E-06,-1.20E-05,3.53E-05,2.73E-05
20220420_153520,1.69E-05,0.000248521,0,-5.54E-06,-1.20E-05,3.53E-05,2.73E-05
20220420_153520,0.01557768,0.05188638,8.13E-05,0.002371155,-0.00252584,0.048480447,0.032948829
20220420_153520,1.66E-05,0.000237916,0,-5.00E-06,-1.21E-05,3.61E-05,2.25E-05
20220420_153520,1.66E-05,0.000237916,0,-5.00E-06,-1.21E-05,3.61E-05,2.25E-05
20220420_153520,0.016404188,0.08805418,4.46E-05,0.00368226,-0.001835736,0.053374533,0.086728908
20220420_153520,1.83E-05,0.000389262,0,-7.45E-06,-1.16E-05,3.31E-05,2.93E-05
20220420_153520,1.83E-05,0.000389262,0,-7.45E-06,-1.16E-05,3.31E-05,2.93E-05
20220420_153520,0.016092178,0.094324961,6.65E-05,-0.000599398,-0.000706635,0.047895916,0.035159189
20220420_153520,1.81E-05,0.000392971,0,-7.69E-06,-1.12E-05,3.12E-05,3.02E-05
20220420_153520,1.81E-05,0.000392971,0,-7.69E-06,-1.12E-05,3.12E-05,3.02E-05
20220420_153520,0.015690843,0.047047552,8.92E-05,-0.002969146,-0.002035218,0.044309951,0.032463051
20220420_153520,1.83E-05,0.000403594,0,-7.97E-06,-1.10E-05,3.02E-05,3.14E-05
20220420_153520,1.83E-05,0.000403594,0,-7.97E-06,-1.10E-05,3.02E-05,3.14E-05
20220420_153520,0.017980427,0.049902312,4.55E-05,-0.000143925,0.001997541,0.040598415,0.049642041
20220420_153520,1.54E-05,0.000260947,0,-4.10E-06,-1.05E-05,4.36E-05,3.36E-05
20220420_153520,1.54E-05,0.000260947,0,-4.10E-06,-1.05E-05,4.36E-05,3.36E-05
20220420_153520,0.017394901,0.0640679,7.50E-05,-0.001019593,-0.001251584,0.046381865,0.044460382
20220420_153520,1.83E-05,0.000404926,0,-7.79E-06,-1.14E-05,3.06E-05,2.90E-05
20220420_153520,1.83E-05,0.000404926,0,-7.79E-06,-1.14E-05,3.06E-05,2.90E-05
20220420_153521,0.017554663,0.102946788,6.40E-05,0.0051252,-0.00169747,0.07597097,0.092301883
20220420_153521,1.84E-05,0.000396072,0,-7.71E-06,-1.15E-05,3.12E-05,3.02E-05
20220420_153521,0.016253671,0.130719572,6.92E-06,-0.001290432,-0.000428542,0.04501928,0.03496363
20220420_153521,1.82E-05,0.000393843,0,-7.59E-06,-1.12E-05,3.23E-05,3.21E-05
20220420_153521,1.82E-05,0.000393843,0,-7.59E-06,-1.12E-05,3.23E-05,3.21E-05
20220420_153521,0.017276798,0.063837349,5.09E-06,-0.000424856,0.003508403,0.048893921,0.042526685
20220420_153521,1.65E-05,0.000234885,0,-5.11E-06,-1.16E-05,3.70E-05,2.76E-05
20220420_153521,1.65E-05,0.000234885,0,-5.11E-06,-1.16E-05,3.70E-05,2.76E-05
20220420_153521,0.0157045,0.05925962,9.04E-05,-0.000770592,-0.002322681,0.043220498,0.042265113
20220420_153521,1.83E-05,0.000387439,0,-7.79E-06,-1.08E-05,3.19E-05,3.70E-05
20220420_153521,1.83E-05,0.000387439,0,-7.79E-06,-1.08E-05,3.19E-05,3.70E-05
20220420_153521,0.016945975,0.068315901,3.28E-05,-0.003755902,0.005071276,0.055911854,0.039846841
20220420_153521,1.85E-05,0.000384518,0,-7.75E-06,-1.16E-05,3.17E-05,3.08E-05
20220420_153521,1.85E-05,0.000384518,0,-7.75E-06,-1.16E-05,3.17E-05,3.08E-05
20220420_153521,0.017412097,0.124510907,8.03E-05,0.004651226,0.004077027,0.12362998,0.080076963
20220420_153521,1.79E-05,0.000413992,0,-7.84E-06,-1.08E-05,3.00E-05,3.00E-05
20220420_153521,1.79E-05,0.000413992,0,-7.84E-06,-1.08E-05,3.00E-05,3.00E-05
20220420_153521,0.017173322,0.107122213,4.02E-05,0.000255301,-0.002314041,0.051107414,0.050042689
20220420_153521,1.84E-05,0.000378967,0,-7.50E-06,-1.17E-05,3.44E-05,2.91E-05
20220420_153521,1.84E-05,0.000378967,0,-7.50E-06,-1.17E-05,3.44E-05,2.91E-05
20220420_153521,0.016692814,0.067564406,5.58E-05,0.007066232,-0.003339354,0.059039146,0.031829119
20220420_153521,1.81E-05,0.000404807,0,-7.52E-06,-1.13E-05,3.02E-05,2.86E-05
20220420_153522,0.018591576,0.059623282,8.09E-05,0.008022278,-0.004148202,0.050668638,0.045743383
20220420_153522,1.82E-05,0.000380599,0,-7.50E-06,-1.15E-05,3.23E-05,3.05E-05
20220420_153522,1.82E-05,0.000380599,0,-7.50E-06,-1.15E-05,3.23E-05,3.05E-05
20220420_153522,1.82E-05,0.000380599,0,-7.50E-06,-1.15E-05,3.23E-05,3.05E-05
20220420_153522,0.019057034,0.064326346,5.79E-05,-0.007793552,0.002163822,0.036816765,0.054963335
20220420_153522,1.84E-05,0.00040475,0,-8.04E-06,-1.12E-05,2.98E-05,3.03E-05
20220420_153522,0.016384851,0.08799316,6.04E-05,-0.002311087,0.000590979,0.087958217,0.072430082
20220420_153522,3.04E-05,0.008953324,0,1.04E-05,-1.56E-05,0.008182222,5.11E-05
20220420_153522,3.04E-05,0.008953324,0,1.04E-05,-1.56E-05,0.008182222,5.11E-05
20220420_153522,3.04E-05,0.008953324,0,1.04E-05,-1.56E-05,0.008182222,5.11E-05
20220420_153522,0.017854191,0.084346712,5.38E-05,0.004894643,0.002474885,0.065464802,0.05168096
20220420_153522,1.85E-05,0.000381333,0,-7.66E-06,-1.16E-05,3.18E-05,3.03E-05
20220420_153522,1.85E-05,0.000381333,0,-7.66E-06,-1.16E-05,3.18E-05,3.03E-05
20220420_153522,0.015836512,0.067866631,5.05E-05,-0.000655494,-0.000919178,0.067828067,0.047714829
20220420_153522,1.78E-05,0.000378693,0,-7.13E-06,-1.13E-05,3.06E-05,2.97E-05
20220420_153522,1.78E-05,0.000378693,0,-7.13E-06,-1.13E-05,3.06E-05,2.97E-05
20220420_153522,0.015917498,0.064657144,7.44E-05,0.000882556,0.005964116,0.041606925,0.05959155
20220420_153522,1.86E-05,0.00039926,0,-7.93E-06,-1.16E-05,3.04E-05,2.94E-05
20220420_153522,1.86E-05,0.00039926,0,-7.93E-06,-1.16E-05,3.04E-05,2.94E-05
20220420_153522,0.016263578,0.059257969,7.41E-05,-0.002050724,0.004562693,0.058395386,0.050249144
20220420_153522,1.63E-05,0.000231826,0,-5.20E-06,-1.13E-05,3.41E-05,2.89E-05
20220420_153522,1.63E-05,0.000231826,0,-5.20E-06,-1.13E-05,3.41E-05,2.89E-05
20220420_153523,0.016803981,0.050009981,7.38E-05,-0.004232914,-0.003986782,0.048165977,0.046451755
20220420_153523,1.77E-05,0.000394216,0,-7.11E-06,-1.13E-05,3.26E-05,2.82E-05
20220420_153523,0.016966104,0.04951055,7.72E-05,0.002736579,-0.006509839,0.039951794,0.034363288
20220420_153523,1.66E-05,0.00024948,0,-5.08E-06,-1.20E-05,3.58E-05,2.40E-05
20220420_153523,1.66E-05,0.00024948,0,-5.08E-06,-1.20E-05,3.58E-05,2.40E-05
20220420_153523,1.66E-05,0.00024948,0,-5.08E-06,-1.20E-05,3.58E-05,2.40E-05
20220420_153523,0.015724263,0.056051701,4.62E-06,-0.001219594,-0.000975483,0.043776948,0.039155208
20220420_153523,1.81E-05,0.000387767,0,-7.46E-06,-1.16E-05,3.06E-05,2.63E-05
20220420_153523,1.81E-05,0.000387767,0,-7.46E-06,-1.16E-05,3.06E-05,2.63E-05
20220420_153523,0.017356239,0.075868301,5.78E-05,-0.00692405,-0.000883816,0.051920477,0.045789815
20220420_153523,1.66E-05,0.000248073,0,-5.23E-06,-1.16E-05,3.48E-05,2.94E-05
20220420_153523,1.66E-05,0.000248073,0,-5.23E-06,-1.16E-05,3.48E-05,2.94E-05
20220420_153523,0.017056451,0.063268036,5.88E-05,-0.004516013,-0.000840647,0.048716012,0.046873905
20220420_153523,1.64E-05,0.000247842,0,-4.85E-06,-1.18E-05,3.58E-05,2.59E-05
20220420_153523,1.64E-05,0.000247842,0,-4.85E-06,-1.18E-05,3.58E-05,2.59E-05
20220420_153523,0.015571348,0.057612903,3.72E-05,-0.004229369,0.000822626,0.038625073,0.045877907
20220420_153523,1.80E-05,0.000398288,0,-7.64E-06,-1.08E-05,3.10E-05,3.27E-05
20220420_153523,1.80E-05,0.000398288,0,-7.64E-06,-1.08E-05,3.10E-05,3.27E-05
20220420_153523,0.015385379,0.048329923,3.42E-05,0.003612253,0.000317383,0.039770395,0.035716366
20220420_153523,1.69E-05,0.000245414,0,-5.47E-06,-1.16E-05,3.69E-05,3.18E-05
20220420_153523,1.69E-05,0.000245414,0,-5.47E-06,-1.16E-05,3.69E-05,3.18E-05
20220420_153523,0.016842237,0.053691521,5.56E-05,0.001585816,0.005514914,0.051294666,0.046478391
20220420_153523,1.83E-05,0.000394185,0,-7.59E-06,-1.14E-05,3.09E-05,2.92E-05
20220420_153524,1.83E-05,0.000394185,0,-7.59E-06,-1.14E-05,3.09E-05,2.92E-05
20220420_153524,0.016793371,0.060592324,2.00E-05,-0.002024199,-0.000632482,0.044843782,0.049882744
20220420_153524,1.70E-05,0.000258942,0,-5.21E-06,-1.22E-05,3.68E-05,2.59E-05
20220420_153524,1.70E-05,0.000258942,0,-5.21E-06,-1.22E-05,3.68E-05,2.59E-05
20220420_153524,0.017592298,0.051963933,4.15E-05,0.004456418,0.000518803,0.05195193,0.045764215
20220420_153524,1.82E-05,0.000390205,0,-7.78E-06,-1.10E-05,3.11E-05,3.17E-05
20220420_153524,1.82E-05,0.000390205,0,-7.78E-06,-1.10E-05,3.11E-05,3.17E-05
20220420_153524,0.021936391,0.085866675,7.74E-05,0.011153785,-0.00996312,0.075949579,0.082419977
20220420_153524,1.68E-05,0.000251231,0,-5.48E-06,-1.18E-05,3.61E-05,2.81E-05
20220420_153524,1.68E-05,0.000251231,0,-5.48E-06,-1.18E-05,3.61E-05,2.81E-05
20220420_153524,0.016925069,0.097838879,5.26E-05,-0.003014293,0.000870391,0.040597543,0.04899792
20220420_153524,1.65E-05,0.000238033,0,-5.04E-06,-1.19E-05,3.73E-05,2.46E-05
20220420_153524,1.65E-05,0.000238033,0,-5.04E-06,-1.19E-05,3.73E-05,2.46E-05
20220420_153524,0.01768094,0.047096983,7.45E-05,-0.006074516,0.0007895,0.037344985,0.039691783
20220420_153524,1.59E-05,0.000245957,0,-4.08E-06,-1.09E-05,5.67E-05,3.44E-05
20220420_153524,1.59E-05,0.000245957,0,-4.08E-06,-1.09E-05,5.67E-05,3.44E-05
20220420_153524,0.018109318,0.086344361,3.42E-05,-0.005644802,0.00039727,0.033347663,0.059785206
20220420_153524,1.74E-05,0.000242731,0,-5.61E-06,-1.23E-05,3.80E-05,2.74E-05
20220420_153524,1.74E-05,0.000242731,0,-5.61E-06,-1.23E-05,3.80E-05,2.74E-05
20220420_153524,1.74E-05,0.000242731,0,-5.61E-06,-1.23E-05,3.80E-05,2.74E-05
20220420_153524,0.01512217,0.067056179,5.32E-05,-0.001468524,-0.001156654,0.055531591,0.040773783
20220420_153524,1.83E-05,0.000400525,0,-7.65E-06,-1.12E-05,3.25E-05,3.18E-05
20220420_153524,1.83E-05,0.000400525,0,-7.65E-06,-1.12E-05,3.25E-05,3.18E-05
20220420_153525,0.014768165,0.09534584,4.71E-05,-0.001484109,-0.000889744,0.045476813,0.092387326
20220420_153525,1.88E-05,0.000406396,0,-7.86E-06,-1.18E-05,3.29E-05,2.96E-05
20220420_153525,1.88E-05,0.000406396,0,-7.86E-06,-1.18E-05,3.29E-05,2.96E-05
20220420_153525,0.017416285,0.093337737,1.87E-05,0.000793314,-0.003291313,0.055883802,0.04403175
20220420_153525,1.69E-05,0.00023925,0,-5.40E-06,-1.21E-05,3.60E-05,2.50E-05
20220420_153525,1.69E-05,0.00023925,0,-5.40E-06,-1.21E-05,3.60E-05,2.50E-05
20220420_153525,0.018961233,0.055201273,2.77E-05,0.008613094,0.002953079,0.047890846,0.037429452
20220420_153525,1.66E-05,0.000235596,0,-5.49E-06,-1.14E-05,3.58E-05,2.95E-05
20220420_153525,1.66E-05,0.000235596,0,-5.49E-06,-1.14E-05,3.58E-05,2.95E-05
20220420_153525,0.016450675,0.066266179,5.30E-05,-0.004769296,0.002466832,0.043199349,0.050507057
20220420_153525,1.83E-05,0.000391914,0,-7.45E-06,-1.15E-05,3.26E-05,3.13E-05
20220420_153525,1.83E-05,0.000391914,0,-7.45E-06,-1.15E-05,3.26E-05,3.13E-05
20220420_153525,0.016743172,0.051855046,1.21E-05,-0.003960586,0.002813849,0.042702474,0.050089389
20220420_153525,1.89E-05,0.000399907,0,-7.89E-06,-1.18E-05,3.34E-05,3.06E-05
20220420_153525,1.89E-05,0.000399907,0,-7.89E-06,-1.18E-05,3.34E-05,3.06E-05
20220420_153525,0.017658155,0.093294151,7.12E-05,0.003285825,0.00575906,0.057166606,0.085143149
20220420_153525,1.82E-05,0.000399405,0,-7.57E-06,-1.14E-05,3.30E-05,3.05E-05
20220420_153525,1.82E-05,0.000399405,0,-7.57E-06,-1.14E-05,3.30E-05,3.05E-05
20220420_153525,0.018417323,0.091740958,7.97E-06,0.006062748,-0.000531948,0.052928898,0.036695667
